id_pedido,fecha,hora,cliente,producto,cantidad,precio_unitario,metodo_pago,ciudad,calificacion,notas
,,,Cralos Morales,Latte,1.0,7800.0,,,,
PED-0002,,,oSfía Díaz,Té verde,5.0,5100.0,Efectivo,Medellín,,doble shot
PED-0003,,18:17:00,uJan Vargas,Latte,5.0,11700.0,transferencia,Pereira,3,muy rico!
PED-0004,,,aCrlos Castro,Machiato,4.0,9900.0,transferencia,,5,sin azúcar
PED-0005,,,Valnetina Martínez,,5.0,,,Pereira,5,para llevar
PED-0006,,,Dvaid Ramos,,4.0,6700.0,Tarjeta,,2,
PED-0007,,19:29:00,aMría Díaz,,3.0,7400.0,DaviPlata,Cartagena,5,
PED-0008,,12:55:00,Carols Torres,Espresso,3.0,,,Medellín,,muy rico!
PED-0009,,13:25:00,,Cappuccino,5.0,5300.0,Efectivo,,3,muy rico!
PED-0010,,17:56:00,Paual Castro,Té verde,2.0,6300.0,Efectivo,Pereira,,caliente porfavor
PED-0011,,07:05:00,Calros Rodríguez,Latte,2.0,16500.0,tarjeta débito,,4,
PED-0012,,07:39:00,,Espresso,,9500.0,tarjeta débito,,1,sin azúcar
PED-0013,,02:22:00,,Latte,4.0,16100.0,,,4,
PED-0014,,,Maíra Ortiz,Té verde,4.0,11400.0,transferencia,,,
PED-0015,,11:42:00,Mairana López,Chocolate caliente,2.0,8600.0,DaviPlata,,4,caliente porfavor
PED-0016,,13:11:00,nAa González,Americano,4.0,14900.0,Efectivo,Cartagena,5,sin lactosa
PED-0017,,,sIabella Rodríguez,Frappé,4.0,11900.0,,Barranquilla,4,
,,,,Cold brew,,15700.0,tarjeta débito,Cartagena,1,caliente porfavor
PED-0019,,18:17:00,Lius García,Machiato,,9800.0,Tarjeta,Medellín,3,
PED-0020,,11:19:00,Davdi Díaz,Americano,2.0,12900.0,,Medellín,1,
PED-0021,,,Feliep Castro,Machiato,1.0,,transferencia,,,
PED-0022,,14:35:00,Sofaí Vargas,Latte,3.0,7800.0,,,4,
PED-0023,,12:20:00,Puala Sánchez,Americano,4.0,8600.0,transferencia,,5,muy rico!
PED-0024,,,aLura López,Té verde,2.0,14100.0,Nequi,,5,para llevar
PED-0025,,,Anrdés López,,,14800.0,Efectivo,,2,sin lactosa
PED-0026,,,Valetnina Muñoz,Cappuccino,2.0,8300.0,transferencia,Cartagena,5,caliente porfavor
