user_id,nombre,edad,ciudad,genero_musical,artista_favorito,canciones_semana,plataforma,horas_dia,dispositivo,genero_persona,nivel_educativo,fecha_registro,hora_registro
USR00001,,64,medellin,Salsa,Grupo Niche,36,youtube,5.4,COMPUTADOR,F,Universitario,8/19/2019,9.47
USR00002,Natalia Flores,32,Medellín,Vallenato,Grupo Niche,73,,7.7,Smart TV,F,Tecnólogo,,
USR00003,Isabella Sánchez,,CALI,Jazz,,109,YouTube,4.9,,m,Posgrado,2 dic 2022,7h50
,Valentina Martínez,,Bogotá,Hip-Hop,,47,Deezer,7.3,,m,Primaria,2021.4.6,8:31am
USR00005,María González,20,,Reggaeton,Maluma,72,Amazon Music,3h,,,Universitario,2022/24/12,10:21pm
USR00006,Diego Torres,63,Manizales,Salsa,aBd Bunny,100 aprox,Apple Music,1.8,Celular,F,Secundaria,1-1-2019,17:08
USR00007,María Castro,25 años,CALI,,Bad uBnny,173,youtube,todo el dia,,,Posgrado,3/5/2024,
USR00008,David García,Veintiocho,,Pop,Mozart,,SPOTIFY,6.5,Celular,Masculino,Universitario,2062022,17.23
USR00009,,N/A,Medellín,Rock,Metallica,74,YouTube,todo el dia,Celular,F,,5 may 2019,10:30 PM
USR00010,,40,Bogotá,Clásica,Metallica,156,Deezer,4.5,Audífonos BT,No binario,,9-2-21,7:18 AM
USR00011,,63,CALI,,Shakira,,SoundCloud,4.2,Alexa,M,,2019/17/9,16h33
USR00012,Juan Pérez,,Barranquilla,reggaeton,Bad Bnuny,65,Spotify,2.3,Celular,,universitario,,12:27:00
USR00013,,N/A,Medellín,SALSA,,83,,7.0,,M,Primaria,11-8-22,7h16
USR00014,Natalia Pérez,,Cali,,Bad Bunny,53,,N/A,Parlante,m,Posgrado,2024/15/1,7:32pm
USR00015,,40,Bogotá,Electronic,,18,,3.3,Alexa,Masculino,TÉCNICO,8-10-21,11:23am
,Juan Ramírez,64,,Reggaeton,,39,Tidal,,,,,2-12-2024,8:54pm
USR00017,Luis Flores,51,Manizales,,,18,Apple Music,,Audífonos BT,Masculino,TÉCNICO,13 may 2020,
USR00018,,57,CALI,Salsa,,,,6.1,Tablet,M,Secundaria,15/8/2022,6:56 PM
USR00019,Laura Castro,N/A,,reggaeton,Shakira,,Amazon Music,7.1,COMPUTADOR,femenino,Secundaria,2-16-2022,2218
USR00020,David Gutiérrez,42,Cali,Metal,,200,Spotify,0.8,Parlante,,TÉCNICO,8/5/2019,13h17
USR00021,Diego Sánchez,44,medellin,,Bad Bnuny,23,,4.9,,F,TÉCNICO,2023.1.13,
USR00022,Juan Pérez,48,Medellín,Electronic,Bad Bunny,198,Apple Music,N/A,,M,Tecnólogo,15 may 2024,5:55pm
USR00023,,45,Manizales,Electronic,Maluma,100 aprox,Deezer,1.2,Parlante,,Tecnólogo,8/4/2019,11:56 AM
USR00024,,,Barranquilla,regueton,Bad Bunny,,Deezer,,Alexa,,universitario,13/12/2019,20:37:00
USR00025,,14,Manizales,Pop,Feid,,Deezer,N/A,Parlante,M,TÉCNICO,2021.9.7,17:29:00
,,14,,Hip-Hop,Bad Bunny,130,Tidal,7.9,,,Posgrado,6-15-2022,18h36
USR00027,María Sánchez,61,CALI,Jazz,Feid,,Tidal,5.2,Smart TV,M,TÉCNICO,,23h07
USR00028,,35,CALI,Metal,Feid,56,,3h,COMPUTADOR,m,Primaria,15/6/2021,21:13
